Date,Open,High,Low,Close,Volume
2010-01-04,6.389118719062898,6.421149562639879,6.357686597783846,6.4064812660217285,493729600
2010-01-05,6.424143184410481,6.45377913699936,6.383729831431048,6.417557239532471,601904800
2010-01-06,6.417557601330513,6.443002899203525,6.308891902803678,6.3154778480529785,552160000
2010-01-07,6.33882590707757,6.3463099342219484,6.258000012642371,6.3038010597229,477131200
2010-01-08,6.295419764544936,6.346310353123808,6.258300586182776,6.3457112312316895,447610800
2010-01-11,6.3702581923515655,6.376245414227439,6.240039313999597,6.289732456207275,462229600
2010-01-12,6.262190302803162,6.279553644446102,6.179269684967472,6.2181854248046875,594459600
2010-01-13,6.222678113777372,6.314279824605141,6.109821362385258,6.3058977127075195,605892000
2010-01-14,6.289732355137283,6.300209593570668,6.257102396119142,6.269375801086426,432894000
2010-01-15,6.314280703478351,6.334337902596525,6.162807543089351,6.1646037101745605,594067600
2010-01-19,6.236447518431264,6.441804450302262,6.203818355438351,6.437314033508301,730007600
2010-01-20,6.433422746845151,6.4525814600330165,6.271472367685669,6.338228702545166,612152800
2010-01-21,6.348704277523269,6.385524488867508,6.202918239041667,6.228662490844727,608154400
2010-01-22,6.190048756994141,6.211601961770394,5.9020701073893,5.919731616973877,881767600
2010-01-25,6.062223298689935,6.127781384990366,5.992773118182527,6.078987121582031,1065699600
2010-01-26,6.165201571374649,6.397500619425717,6.064319265600282,6.164902210235596,1867110000
2010-01-27,6.192143837798432,6.3038027550547255,5.973016260251572,6.222977638244629,1722568400
2010-01-28,6.13466579860717,6.151728578231044,5.948167870712455,5.965829372406006,1173502400
2010-01-29,6.019414471458897,6.052942109520461,5.695213650273014,5.749396800994873,1245952400
2010-02-01,5.758678520461148,5.867344219308913,5.7266476769253405,5.829326152801514,749876400
2010-02-02,5.864650186181864,5.876923593210651,5.788913416672095,5.863152980804443,698342400
2010-02-03,5.842497214550557,5.99307266377811,5.8200455297371745,5.9640350341796875,615328000
2010-02-04,5.889193820657068,5.938288224960163,5.73472754252044,5.749096870422363,757652000
2010-02-05,5.766461370223868,5.8673436697596895,5.713175890129751,5.851178169250488,850306800
2010-02-08,5.858062172548806,5.923620640173878,5.807470957239656,5.811063289642334,478270800
2010-02-09,5.879916045005989,5.9122462445061315,5.829923940252894,5.873031139373779,632886800
2010-02-10,5.864048650039952,5.885303683307058,5.815254399826562,5.840998649597168,370361600
2010-02-11,5.833815339753855,5.97960099091897,5.809268130428122,5.947270393371582,550345600
2010-02-12,5.930508411733879,6.036180909268444,5.852377142603015,5.998462200164795,655468800
2010-02-16,6.04516125547711,6.09754826186112,6.032588485855666,6.0888671875,543737600
2010-02-17,6.112513913382138,6.116106246288784,6.012828673627731,6.063420295715332,436396800
2010-02-18,6.035879179580559,6.1035339889261016,6.014625340808831,6.074795722961426,422825200
2010-02-19,6.042766165166882,6.082879359435265,6.020314079358105,6.037077903747559,415469600
2010-02-22,6.057135606542945,6.061924985567922,5.96283883667206,5.999659061431885,390563600
2010-02-23,5.9870856845064955,6.026899916598866,5.858662953428885,5.899075508117676,575094800
2010-02-24,5.934098595460305,6.030191500466852,5.922423513737406,6.006842136383057,460566400
2010-02-25,5.908655360409758,6.072701275851085,5.893987063557348,6.046957015991211,665126000
2010-02-26,6.05833236858046,6.141852132461759,6.046957044365873,6.125387668609619,507460800
2010-03-01,6.159215090440178,6.2714731330194855,6.150234654868027,6.256206512451172,550093600
2010-03-02,6.284343002717877,6.31128509910266,6.218784527681802,6.252013206481934,566546400
2010-03-03,6.2547088854012545,6.282548673448106,6.224773569269848,6.266383171081543,372052800
2010-03-04,6.264885966364551,6.313979587659363,6.2454270953345326,6.307693004608154,366041200
2010-03-05,6.43431987305921,6.576812547524191,6.425039679720335,6.554360866546631,899620400
2010-03-08,6.586092593151582,6.588487082165762,6.5334062409001685,6.558252811431885,429889600
2010-03-09,6.535201670261281,6.735469418635538,6.522628905710673,6.676197528839111,920259200
2010-03-10,6.700446194673718,6.749839575444052,6.681586845698715,6.730680465698242,596218000
2010-03-11,6.702842266911844,6.750438690185547,6.685179959496295,6.750438690185547,405700400
2010-03-12,6.806418197016759,6.8171951984243275,6.757923289407135,6.7833685874938965,416323600
2010-03-15,6.7468464716655845,6.750438005650822,6.593277418514697,6.700746059417725,493502800
2010-03-16,6.710923711475747,6.73487180028922,6.660931606452395,6.719006061553955,446908000
2010-03-17,6.732475835350057,6.778875599730518,6.68368158221582,6.7091264724731445,450956800
2010-03-18,6.708527968744501,6.73547046772292,6.663924763604394,6.7249932289123535,342109600
2010-03-19,6.729184777308604,6.742655628103686,6.622614216391505,6.653148651123047,559445600
2010-03-22,6.599862992106159,6.765406070739366,6.590283437631667,6.7279863357543945,456419600
2010-03-23,6.754630164821655,6.8486279707109095,6.708529345360598,6.836054801940918,602431200
2010-03-24,6.814500389297734,6.8911352342484715,6.810608295211313,6.866288661956787,597780400
2010-03-25,6.912690771614467,6.914187977342199,6.772891884635451,6.7848663330078125,542284400
2010-03-26,6.853717504682825,6.943523454881764,6.8417430582447345,6.9120917320251465,640875200
2010-03-29,6.974952208902573,7.000995416792281,6.933641190371567,6.956690788269043,540744400
2010-03-30,7.0827219942921325,7.109065773468093,7.012373328490468,7.060270309448242,527310000
2010-03-31,7.049494420566178,7.083022068913415,7.018660622800209,7.034825325012207,430659600
2010-04-01,7.106969044991726,7.146483110578397,6.967469972979133,7.063861846923828,603145200
2010-04-05,7.034224565261855,7.139896207390629,7.027937584170719,7.1392974853515625,684507600
2010-04-06,7.130618432727981,7.1916864992653124,7.094695899583298,7.170732021331787,447017200
2010-04-07,7.171030635285083,7.2419780145050945,7.144387897981236,7.202463150024414,628502000
2010-04-08,7.197675538424352,7.230604468839809,7.125830453997482,7.18300724029541,572989200
2010-04-09,7.227311927792419,7.241082542124563,7.198274292903615,7.238088130950928,334182800
2010-04-12,7.250359969107818,7.276403986543577,7.238685285253755,7.253054618835449,333026400
2010-04-13,7.240181251604838,7.268320392358471,7.2177287720443575,7.257243633270264,306210800
2010-04-14,7.342561627274827,7.358427366828353,7.30634013108433,7.354835033416748,404076400
2010-04-15,7.357528850063878,7.454819214443515,7.349446499605883,7.451526641845703,376784800
2010-04-16,7.441048507131875,7.517983113975675,7.320708537395267,7.40602445602417,750545600
2010-04-19,7.394947422667323,7.420691675240101,7.237486697816568,7.396144866943359,566924400
2010-04-20,7.440151902232358,7.461406144613426,7.273112374104096,7.321907043457031,738326400
2010-04-21,7.74728973046291,7.7906967010440935,7.6553878483821745,7.759862899780273,982391200
2010-04-22,7.730521973957927,7.985272195310842,7.669453127985331,7.9768900871276855,793424800
2010-04-23,8.02239725600359,8.14782681213968,7.992761693623469,8.107414245605469,796955600
2010-04-26,8.138844697898165,8.156206845242549,8.028382431911705,8.067598342895508,479068800
2010-04-27,8.000839619589202,8.017902800376289,7.7987760993727235,7.844277381896973,709343600
2010-04-28,7.88049956122388,7.902950441432632,7.675741394620159,7.831106185913086,758402400
2010-04-29,7.8736133383763045,8.082562546004146,7.8433790726860355,8.041851043701172,558840800
2010-04-30,8.061909655463941,8.099628359023445,7.813147347439925,7.815841197967529,542463600
2010-05-03,7.898163289644792,8.01910278641804,7.869424621559317,7.973300933837891,454342000
2010-05-04,7.869722341861257,7.881695983213913,7.6859186737027105,7.7436933517456055,723819600
2010-05-05,7.574561838614753,7.727531783522216,7.445838946924325,7.663170337677002,883103200
2010-05-06,7.598511784789909,7.730826243077675,5.964635459633544,7.371601581573486,1285860800
2010-05-07,7.295562389648453,7.381177262507192,6.741756368722413,7.060568332672119,1676018400
2010-05-10,7.491340329343618,7.623056020554804,7.439851017684238,7.603298187255859,984306400
2010-05-11,7.538939411470479,7.779919969242854,7.498826611454637,7.679038047790527,848906800
2010-05-12,7.760460776495262,7.8769102741679555,7.744296871908162,7.84577751159668,654379600
2010-05-13,7.879605935376282,7.932891436950301,7.6754463650416085,7.7341203689575195,599712400
2010-05-14,7.6383239289160985,7.677838800763313,7.468889517359461,7.598210334777832,759362800
2010-05-17,7.624555437482614,7.668860095339512,7.415306356973816,7.6101861000061035,762834800
2010-05-18,7.692803118054822,7.739801596009986,7.491636522872941,7.554501533508301,782678400
2010-05-19,7.468885785549607,7.571264848079412,7.329686519560544,7.4341607093811035,1025726800
2010-05-20,7.240782095347743,7.299755849273897,7.071048699478305,7.1174492835998535,1282915200
2010-05-21,6.969564145452375,7.319210660190616,6.925559269818605,7.253951549530029,1223891200
2010-05-24,7.402434783470813,7.510801147025657,7.371900738392637,7.386868000030518,754238800
2010-05-25,7.165045027776035,7.386866449379877,7.099486932762753,7.340766429901123,1048006400
2010-05-26,7.486250122362028,7.547617938957818,7.296758173640526,7.307535171508789,850654000
2010-05-27,7.501818460789592,7.600306279482457,7.457214849049744,7.584140777587891,666282400
2010-05-28,7.764949658482248,7.76524861986826,7.584138771456381,7.6898112297058105,815614800
2010-06-01,7.77393046568259,7.961026754713923,7.7520775052945705,7.808056831359863,876472800
2010-06-02,7.919118896458592,7.926902286839783,7.793090642284936,7.901457786560059,688548000
2010-06-03,7.938276274426648,7.949353036034465,7.79548461104153,7.876610279083252,650106800
2010-06-04,7.729624304273975,7.840085729539849,7.622456250107375,7.6622700691223145,758304400
2010-06-07,7.73202150204369,7.757765759641751,7.500320785574665,7.511996269226074,886942000
2010-06-08,7.580848319299815,7.597612543740285,7.353638401755719,7.46380090713501,1000770400
2010-06-09,7.527861822405448,7.54073475024704,7.259041931531618,7.280295372009277,854630000
2010-06-10,7.329390822141629,7.513193779381113,7.250361074121785,7.499125003814697,776356000
2010-06-11,7.4308716015936955,7.5994083237399614,7.405127343304467,7.588931083679199,545759200
2010-06-14,7.662273747916827,7.757767167129364,7.603899516517599,7.6119818687438965,602960400
2010-06-15,7.652693510062946,7.778721758615542,7.648502453890771,7.773931980133057,585074000
2010-06-16,7.816142492554247,8.015213309794166,7.8020729147234835,8.000246047973633,783678000
2010-06-17,8.100526573203085,8.169378832444076,8.06759764888547,8.138545036315918,872855200
2010-06-18,8.149917002744306,8.232240083032208,8.125070438118154,8.204399108886719,784621600
2010-06-21,8.312770034985954,8.352284911742423,8.04454881016908,8.087656021118164,776490400
