timesteps,reward_train,reward_ext,reward_intrinsic,reward_surprise,reward_dejavu,intrinsic_eta,intrinsic_volatility_factor,intrinsic_surprise_loss,intrinsic_dejavu_loss,intrinsic_warmup,episode_reward_mean,explained_variance,value_loss,entropy_loss,approx_kl
960,-0.3030182123184204,-0.3030182123184204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
980,0.09886105358600616,0.09886105358600616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1000,-0.06186649575829506,-0.06186649575829506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1020,0.15087352693080902,0.15087352693080902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1040,0.11504440754652023,0.11504440754652023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1060,0.26752719283103943,0.26752719283103943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1080,-0.6134294867515564,-0.6134294867515564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1100,0.07198061048984528,0.07198061048984528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1120,0.29510819911956787,0.29510819911956787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1140,0.0570557527244091,0.0570557527244091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1160,-0.05374164506793022,-0.05374164506793022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1180,0.019402381032705307,0.019402381032705307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1200,0.013573001138865948,0.013573001138865948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1220,0.06499656289815903,0.06499656289815903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1240,0.24234645068645477,0.24234645068645477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1260,-0.014817610383033752,-0.014817610383033752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1280,0.06880726665258408,0.06880726665258408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1300,0.18562880158424377,0.18562880158424377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1320,0.09774711728096008,0.09774711728096008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1340,0.042340632528066635,0.042340632528066635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1360,-0.04644429311156273,-0.04644429311156273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1380,-0.04691080003976822,-0.04691080003976822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1400,0.2924056053161621,0.2924056053161621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1420,-0.0440182201564312,-0.0440182201564312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1440,0.21646258234977722,0.21646258234977722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1460,-0.09601447731256485,-0.09601447731256485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1480,0.030528610572218895,0.030528610572218895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1500,0.17017091810703278,0.17017091810703278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1520,0.13009609282016754,0.13009609282016754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1540,-0.02621007338166237,-0.02621007338166237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1560,0.26292258501052856,0.26292258501052856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1580,0.11694475263357162,0.11694475263357162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1600,0.06578673422336578,0.06578673422336578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1620,-0.06041332706809044,-0.06041332706809044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1640,-0.0601792111992836,-0.0601792111992836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1660,0.45877426862716675,0.45877426862716675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1680,0.024324951693415642,0.024324951693415642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1700,0.001794690964743495,0.001794690964743495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1720,-0.09324862062931061,-0.09324862062931061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1740,0.2125464230775833,0.2125464230775833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1760,0.03268209099769592,0.03268209099769592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1780,-0.07392405718564987,-0.07392405718564987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1800,0.05455954000353813,0.05455954000353813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1820,0.17011050879955292,0.17011050879955292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1840,-0.5695212483406067,-0.5695212483406067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1860,-0.6972023844718933,-0.6972023844718933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1880,0.04992156848311424,0.04992156848311424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1900,-0.3129097819328308,-0.3129097819328308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1920,0.14278259873390198,0.14278259873390198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1940,0.01443552877753973,0.01443552877753973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1960,0.09156714379787445,0.09156714379787445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
