timesteps,reward_train,reward_ext,reward_intrinsic,reward_surprise_raw,reward_surprise,reward_dejavu_raw,reward_dejavu,intrinsic_eta,intrinsic_time_decay,intrinsic_volatility_factor,intrinsic_surprise_loss,intrinsic_dejavu_loss,intrinsic_warmup,episode_reward_mean,explained_variance,value_loss,entropy_loss,approx_kl
256,0.038626208901405334,0.03862620902938797,0.0,-0.4164430499076843,0.0,0.20277944207191467,0.1126607769238632,0.49618080146824234,0.9993652015698321,0.49649597633460424,-0.3273427486419678,0.13470780849456787,True,,,,,
512,-0.057164937257766724,-0.057164936360168214,0.0,-0.09461299329996109,0.0,0.06894519180059433,0.05389998012221293,0.5178944392230808,0.9987283092848169,0.5185538793768064,-0.592220664024353,0.05139004439115524,True,,,,,
768,0.0967421680688858,0.09674217146568408,0.0,-0.849310576915741,0.0,0.011813228949904442,0.01129502450558514,0.4112187830715867,0.9980943181219187,0.41200393149753983,-0.7427682280540466,0.020693140104413033,True,,,,,
1024,0.19406934082508087,0.1940693414665235,0.0,-0.7094529271125793,0.0,0.019878460094332695,0.021951784965595363,0.5665236892054856,0.997458235766909,0.5679673282459855,-0.762942373752594,0.01436189841479063,True,,,,,
1280,0.0690886601805687,0.06880726772308408,0.000281395847115294,-1.123892068862915,0.0,0.0072871544398367405,0.008998350132725576,0.6254387592496581,0.9968225587851741,0.6274323887812884,-0.8651567697525024,0.011436295695602894,False,,,,,
1536,-0.0486932098865509,-0.04903212450561405,0.0003389155340691857,-1.0147725343704224,0.0,0.00825158879160881,0.011159276872448687,0.6074148673664322,0.9961897773897014,0.6097381052815366,-0.9102528691291809,0.009088385850191116,False,,,,,
1792,0.010740957222878933,0.010358239799500735,0.00038271701003596444,-1.0246473550796509,0.0,0.010233940556645393,0.01495091165210076,0.5119647803981086,0.995554908792482,0.5142506715366162,-0.953331708908081,0.0077682556584477425,False,,,,,
2048,-0.2859954535961151,-0.2862356296142578,0.00024017732349828098,-0.7708192467689514,0.0,0.005620020907372236,0.00877806136470597,0.5472217919641439,0.9949204447950135,0.55001562670359,-1.0013296604156494,0.0063439481891691685,False,,,,,
2304,0.31293684244155884,0.31249515191497923,0.00044170184290981775,-0.8701996207237244,0.0,0.008475267328321934,0.014038719713197811,0.629262285925651,0.9942888708585157,0.6328767266421442,-1.0295213460922241,0.005481862463057041,False,,-0.42487001419067383,0.2418219806626439,-7.097107446193695,0.006407649256289005
2560,-0.13082021474838257,-0.13103434533081018,0.0002141234368285612,-0.8557504415512085,0.0,0.00526236230507493,0.009189004797942055,0.46604271417186705,0.9936552137030219,0.46901853655563397,-1.056463360786438,0.0042989496141672134,False,,-0.42487001419067383,0.2418219806626439,-7.097107446193695,0.006407649256289005
