timesteps,reward_train,reward_ext,reward_intrinsic,reward_surprise,reward_dejavu,intrinsic_eta,intrinsic_volatility_factor,intrinsic_surprise_loss,intrinsic_dejavu_loss,intrinsic_warmup,episode_reward_mean,explained_variance,value_loss,entropy_loss,approx_kl
20,-0.4207237958908081,-0.42072378947448597,0.0,0.3137175133533957,0.0,0.552326355151357,0.553608872235147,0.0,0.0,True,,,,,
40,0.07938159257173538,0.07938158924865711,0.0,0.37590049630322137,0.0,0.654311873137876,0.6574343099369909,0.0,0.0,True,,,,,
60,-0.04512747749686241,-0.04512747930984479,0.0,0.3937833657138095,0.0,0.5327750407308828,0.536626016662033,0.0,0.0,True,,,,,
80,0.30881384015083313,0.3088138339645375,0.0,0.612267366726341,0.0,0.5264539688142077,0.5315554149549823,0.0,0.0,True,,,,,
100,0.21170967817306519,0.21170968336791995,0.0,0.5022804660796742,0.0,0.5414882565722081,0.548071821940912,0.0,0.0,True,,,,,
120,0.28523164987564087,0.2852316462242132,0.0,0.6157180392182948,0.0,0.5377739189774198,0.5456428354016645,0.0,0.0,True,,,,,
140,-0.4717961549758911,-0.4717961630744918,0.0,0.6066263161001346,0.0,0.5309881356091063,0.5400746933136936,1.3620109558105469,0.0,True,,,,,
160,-0.00901880580931902,-0.009018806074523308,0.0,0.3179117965719934,0.0,0.5712567916156388,0.5824527177309407,1.0119467973709106,0.0,True,,,,,
180,0.3010784089565277,0.30107841178283706,0.0,0.2867381391326869,0.0,0.5857672097060993,0.5987074272764201,0.6754118800163269,0.0,True,,,,,
200,0.18581841886043549,0.18581841394805815,0.0,0.4106951365998612,0.0,0.5126143604760103,0.5251551540146169,0.23457662761211395,0.0,True,,,,,
220,-0.0658295750617981,-0.06582957578735368,0.0,0.08230450224767767,0.0,0.5033515784010807,0.5169262513740895,-0.063447505235672,0.0,True,,,,,
240,0.12049292027950287,0.12049291940460244,0.0,0.0,0.0,0.5148439426164207,0.5300209664333297,-0.15697826445102692,0.0,True,,,,,
260,0.03277105838060379,0.03277105804901075,0.0,0.0,0.0,0.5075954851043867,0.5238361695123183,-0.275577187538147,0.0,True,,,,,
280,0.06991235911846161,0.06991235879821907,0.0,0.08618135768925773,0.0,0.4911103563278578,0.5080624675925105,-0.3193665146827698,0.0,True,,,,,
300,0.1742824912071228,0.17428249593200745,0.0,0.045129591069973406,0.0,0.49098516562103867,0.5091745412451654,-0.36591288447380066,0.0,True,,,,,
320,0.04149215668439865,0.04149215574722184,0.0,0.0,0.0,0.49796614345835,0.5176764582092268,-0.4659149944782257,0.0,True,,,,,
340,0.047598809003829956,0.04759880805893045,0.0,0.10797236068031825,0.0,0.5394566330860293,0.5621800451161361,-0.4678550660610199,0.0,True,,,,,
360,0.022137343883514404,0.022137344091798877,0.0,0.26899313458919466,0.0,0.47712555209504515,0.4984388132126762,-0.4966979920864105,0.0,True,,,,,
380,0.056009989231824875,0.05600999102325732,0.0,0.0,0.0,0.25259682433437164,0.2644930951686898,-0.514302134513855,0.0,True,,,,,
400,-0.037335388362407684,-0.03733538677978504,0.0,0.0,0.0,0.49415919254925095,0.518696861928953,-0.530187726020813,0.0,True,,,,,
420,-0.03531116247177124,-0.03531116236572125,0.0,0.0,0.0,0.5364133718287928,0.5644255003197695,-0.5687990784645081,0.0,True,,,,,
440,-0.14859521389007568,-0.14859521308441037,0.0,0.024420737945977235,0.0,0.3587622742026701,0.37842000641527457,-0.5947213172912598,0.0,True,,,,,
460,0.24644163250923157,0.24644163753662143,0.0,0.0,0.0,0.4925876411377449,0.5208481440644432,-0.6305157542228699,0.0,True,,,,,
480,-0.05417797341942787,-0.05417797310104361,0.0,0.0,0.0,0.5105572139965175,0.5411682587502598,-0.624751627445221,0.0,True,,,,,
500,0.2159687578678131,0.2159687540313724,0.0,0.0,0.0,0.5097621132483612,0.5416462524498792,-0.6327417492866516,0.0,True,,,,,
520,-0.19014225900173187,-0.19014225946197402,0.0,0.0,0.0,0.5831673581177959,0.6211574300701106,-0.6520853638648987,0.0,True,,,,,
540,-0.022353066131472588,-0.02235306549606321,0.0,0.0,0.0,0.576395126377309,0.6154447435052528,-0.6602581739425659,0.0,True,,,,,
560,0.17131654918193817,0.17131655058746256,0.0,0.0,0.0,0.5951434103018661,0.6370165053369659,-0.6993962526321411,0.0,True,,,,,
580,0.060426145792007446,0.06042614556274203,0.0,0.0,0.0,0.3883480140077462,0.41663660079341774,-0.7248779535293579,0.0,True,,,,,
600,-0.06880000233650208,-0.06880000362396241,0.0,0.0,0.0,0.5642369796092978,0.6068175966277287,-0.7165483236312866,0.0,True,,,,,
620,0.11321186274290085,0.11321186372375523,0.0,0.0,0.0,0.496955995360773,0.535765622591383,-0.6931020617485046,0.0,True,,,,,
640,0.19354577362537384,0.1935457668762203,0.0,0.0,0.0,0.5609338272457992,0.6062180030089285,-0.7556692957878113,0.0,True,,,,,
