timesteps,reward_train,reward_ext,reward_intrinsic,reward_surprise_raw,reward_surprise,reward_dejavu_raw,reward_dejavu,intrinsic_eta,intrinsic_time_decay,intrinsic_volatility_factor,intrinsic_surprise_loss,intrinsic_dejavu_loss,intrinsic_warmup,episode_reward_mean,explained_variance,value_loss,entropy_loss,approx_kl
256,-0.022639453411102295,-0.022639454125976774,0.0,0.14676138758659363,0.04688514322587387,0.23703686892986298,0.13496135976928939,0.4694112684274538,0.9993652015698321,0.4697094392421197,-0.3101244568824768,0.15699392557144165,True,,,,,
512,0.12665288150310516,0.12665288217544732,0.0,-0.4917043447494507,0.0,0.04900117963552475,0.03933869636320516,0.7203639473470017,0.9987283092848169,0.721281193944377,-0.6203687191009521,0.032754749059677124,True,,,,,
768,0.04825650155544281,0.04825649989166268,0.0,-0.8153664469718933,0.0,0.009674587287008762,0.009505908470083585,0.43082306193120035,0.9980943181219187,0.43164564120740206,-0.7259705066680908,0.015823854133486748,True,,,,,
1024,0.09688375145196915,0.09688374779357983,0.0,-0.8863370418548584,0.0,0.02176189236342907,0.024697027274265843,0.5743837254287885,0.997458235766909,0.5758473937379102,-0.8336538672447205,0.011033796705305576,True,,,,,
1280,0.052071038633584976,0.05172676280517626,0.000344277533331337,-0.7546618580818176,0.0,0.008322292007505894,0.010561300964897354,0.6519604629687457,0.9968225587851741,0.6540386322750247,-0.8881454467773438,0.007954729720950127,False,,,,,
1536,-0.09265925735235214,-0.09278743537902774,0.00012817538747465442,-1.058803915977478,0.0,0.004178349394351244,0.005807320791062484,0.44142692331347505,0.9961897773897014,0.4431152912150316,-0.962755024433136,0.007214867509901524,False,,,,,
1792,0.09207188338041306,0.09183810183715832,0.00023378401985010022,-0.8730639815330505,0.0,0.0061396099627017975,0.009218044862424137,0.5072312477086823,0.995554908792482,0.5094960039159547,-0.9635956287384033,0.006480962038040161,False,,,,,
2048,-0.35275334119796753,-0.35333040987167336,0.0005770731479608349,-0.6509230136871338,0.0,0.011050394736230373,0.017738381790064713,0.6506491457795256,0.9949204447950135,0.6539710277172772,-0.9975829720497131,0.0053931898437440395,False,,,,,
2304,0.2699539363384247,0.2697798074111939,0.00017412160921174535,-1.189660668373108,0.0,0.004069334827363491,0.006927431624562123,0.5027017764978703,0.9942888708585157,0.5055892620660775,-1.058345913887024,0.004612552002072334,False,,-0.5573762655258179,0.2318659510463476,-7.086498111486435,0.006612843368202448
2560,0.06460678577423096,0.06453592196502723,7.086039515727808e-05,-0.9655824303627014,0.0,0.0016232207417488098,0.0029130060005864585,0.4865104647433762,0.9936552137030219,0.4896169798478829,-1.0503454208374023,0.0042836726643145084,False,,-0.5573762655258179,0.2318659510463476,-7.086498111486435,0.006612843368202448
2816,0.09425783902406693,0.09393417653045763,0.000323664093479981,-1.2253164052963257,0.0,0.004970446694642305,0.009355888879282523,0.6918938385356322,0.9930219603752309,0.6967558283143989,-1.126828908920288,0.0035447580739855766,False,,-0.5573762655258179,0.2318659510463476,-7.086498111486435,0.006612843368202448
3072,-0.287917822599411,-0.2880940710960393,0.00017626173630219316,-0.7010554671287537,0.0,0.002798585221171379,0.00550143922356818,0.6407840899053739,0.9923915915936625,0.6456968149804163,-1.1128337383270264,0.002792079234495759,False,,-0.5573762655258179,0.2318659510463476,-7.086498111486435,0.006612843368202448
