timesteps,reward_train,reward_ext,reward_intrinsic,reward_surprise,reward_dejavu,intrinsic_eta,intrinsic_volatility_factor,intrinsic_surprise_loss,intrinsic_dejavu_loss,intrinsic_warmup,episode_reward_mean,explained_variance,value_loss,entropy_loss,approx_kl
20,-0.4207237958908081,-0.42072378947448597,0.0,0.0,1.0162913682927626,0.552326355151357,0.553608872235147,0.0,0.0,True,,,,,
40,0.07938159257173538,0.07938158924865711,0.0,0.0,0.8120865259007823,0.654311873137876,0.6574343099369909,0.0,0.0,True,,,,,
60,-0.04512747749686241,-0.04512747930984479,0.0,0.0,0.7653075930450778,0.5327750407308828,0.536626016662033,0.0,0.0,True,,,,,
80,0.30881384015083313,0.3088138339645375,0.0,0.0,1.190604402869339,0.5264539688142077,0.5315554149549823,0.0,0.0,True,,,,,
100,0.21170967817306519,0.21170968336791995,0.0,0.0,0.8318518563844916,0.5414882565722081,0.548071821940912,0.0,0.0,True,,,,,
120,0.28523164987564087,0.2852316462242132,0.0,0.0,0.9806017691455089,0.5377739189774198,0.5456428354016645,0.0,0.0,True,,,,,
140,-0.4717961549758911,-0.4717961630744918,0.0,0.0,1.0917688828111043,0.5309881356091063,0.5400746933136936,0.0,0.9878301024436951,True,,,,,
160,-0.00901880580931902,-0.009018806074523308,0.0,0.0,0.49163450080635246,0.5712567916156388,0.5824527177309407,0.0,0.5556950569152832,True,,,,,
180,0.3010784089565277,0.30107841178283706,0.0,0.0,0.4256457652241061,0.5857672097060993,0.5987074272764201,0.0,0.40443113446235657,True,,,,,
200,0.18581841886043549,0.18581841394805815,0.0,0.0,0.12858545548580014,0.5126143604760103,0.5251551540146169,0.0,0.22722087800502777,True,,,,,
220,-0.0658295750617981,-0.06582957578735368,0.0,0.0,0.13607689512544438,0.5033515784010807,0.5169262513740895,0.0,0.20889981091022491,True,,,,,
240,0.12049292027950287,0.12049291940460244,0.0,0.0,0.12582934638837742,0.5148439426164207,0.5300209664333297,0.0,0.17986927926540375,True,,,,,
260,0.03277105838060379,0.03277105804901075,0.0,0.0,0.060370869379957795,0.5075954851043867,0.5238361695123183,0.0,0.16743890941143036,True,,,,,
280,0.06991235911846161,0.06991235879821907,0.0,0.0,0.15300112371389915,0.4911103563278578,0.5080624675925105,0.0,0.14216521382331848,True,,,,,
300,0.1742824912071228,0.17428249593200745,0.0,0.0,0.19600357643451843,0.49098516562103867,0.5091745412451654,0.0,0.11855760961771011,True,,,,,
320,0.04149215668439865,0.04149215574722184,0.0,0.0,0.08430117292524388,0.49796614345835,0.5176764582092268,0.0,0.09587151557207108,True,,,,,
340,0.047598809003829956,0.04759880805893045,0.0,0.0,0.08309532914042232,0.5394566330860293,0.5621800451161361,0.0,0.08440624922513962,True,,,,,
360,0.022137343883514404,0.022137344091798877,0.0,0.0,0.16726712674870006,0.47712555209504515,0.4984388132126762,0.0,0.07804227620363235,True,,,,,
380,0.056009989231824875,0.05600999102325732,0.0,0.0,0.02609965610162621,0.25259682433437164,0.2644930951686898,0.0,0.06587737798690796,True,,,,,
400,-0.037335388362407684,-0.03733538677978504,0.0,0.0,0.07182458068333873,0.49415919254925095,0.518696861928953,0.0,0.05661271512508392,True,,,,,
420,-0.03531116247177124,-0.03531116236572125,0.0,0.0,0.06134609254650315,0.5364133718287928,0.5644255003197695,0.0,0.052430398762226105,True,,,,,
440,-0.14859521389007568,-0.14859521308441037,0.0,0.0,0.027057093845641027,0.3587622742026701,0.37842000641527457,0.0,0.04232243075966835,True,,,,,
460,0.24644163250923157,0.24644163753662143,0.0,0.0,0.03071599472302474,0.4925876411377449,0.5208481440644432,0.0,0.03770259767770767,True,,,,,
480,-0.05417797341942787,-0.05417797310104361,0.0,0.0,0.023086917003265314,0.5105572139965175,0.5411682587502598,0.0,0.036117199808359146,True,,,,,
