timesteps,reward_train,reward_ext,reward_intrinsic,reward_surprise_raw,reward_surprise,reward_dejavu_raw,reward_dejavu,intrinsic_eta,intrinsic_time_decay,intrinsic_volatility_factor,intrinsic_surprise_loss,intrinsic_dejavu_loss,intrinsic_warmup,episode_reward_mean,explained_variance,value_loss,entropy_loss,approx_kl
20,-0.35366883873939514,-0.3536688314407351,0.0,0.0,0.0,2.5319628715515137,1.098481747248356,0.5232045088146333,0.9976833516438925,0.5244194041652035,0.0,0.0,True,,,,,
40,0.207739919424057,0.20773992664794932,0.0,0.0,0.0,1.8655353784561157,0.8530763144419857,0.7519178874503255,0.9952505721835324,0.7555061091807799,0.0,0.0,True,,,,,
60,-0.0016872667474672198,-0.0016872667976393133,0.0,0.0,0.0,1.8300671577453613,0.8485269220494478,0.6696401207702248,0.9928237248818006,0.6744803775211435,0.0,0.0,True,,,,,
80,1.2607821226119995,1.2607821703689581,0.0,0.0,0.0,2.6269195079803467,1.2134449897941644,0.705740054965343,0.9904027952735527,0.7125788197825261,0.0,0.0,True,,,,,
100,0.1536044031381607,0.1536044082092296,0.0,0.0,0.0,2.0353424549102783,0.9280003054361207,0.5170752337039529,0.9879877689289167,0.5233619787262318,0.0,0.0,True,,,,,
120,0.17790670692920685,0.17790670500183187,0.0,0.0,0.0,1.9394186735153198,0.8885070379631395,0.47346343711830374,0.9855786314532067,0.4803913376451718,0.0,0.0,True,,,,,
140,-0.5050453543663025,-0.5050453523315431,0.0,0.0,0.0,1.9941645860671997,0.9023009529187674,0.5967481199779566,0.9831753684868371,0.6069599982924572,0.0,0.8281232714653015,True,,,,,
160,0.05553438887000084,0.05553439006042609,0.0,0.0,0.0,0.8918743133544922,0.3918294044010465,0.6748440064189195,0.9807779657052373,0.6880701137424787,0.0,0.48612454533576965,True,,,,,
180,0.4045582115650177,0.40455819886474637,0.0,0.0,0.0,0.48006075620651245,0.22180438017381937,0.6355424634471168,0.9783864088187663,0.6495822690489184,0.0,0.351130872964859,True,,,,,
200,0.19085069000720978,0.19085068817138673,0.0,0.0,0.0,0.16671782732009888,0.08090382513885784,0.4106466466531228,0.9761198315531384,0.4206928630880581,0.0,0.21191570162773132,True,,,,,
